grp pers temp it in_BKS out_BKS SEED timeElapsed
2 10 2250.0 50 3637.595 3696.989 SSMnAb0i8JDpIJN 2.033528134
2 10 2250.0 50 3652.785 3710.731 wJOGWn7G5kNeBmV 2.455674362
2 10 2250.0 50 3635.277 3710.731 aEPyNVGNGkv2HiA 2.485411906
2 10 2250.0 50 3642.460 3710.731 Y819sDUI7GZWGgV 2.48229626
2 10 2250.0 50 3567.778 3700.609 LNxVuYdKoGJUKj9 2.278385008
2 10 2250.0 50 3656.877 3700.609 a300i2CZjNwC3Qz 2.3963800670000004
2 10 2250.0 50 3637.916 3710.731 1Z6mpftEwa6EyPA 2.351076008
2 10 2250.0 50 3622.479 3696.989 MIkwLFnAdM0Gbnl 2.537518666
2 10 2250.0 50 3622.974 3700.609 wAFkAHnHtgum0Ck 2.57786247
2 10 2250.0 50 3635.277 3710.731 qZr4LLzYMySEPDf 2.236032179
