grp pers temp it in_BKS out_BKS SEED timeElapsed
6 60 2250.0 50 13915.000 15116.000 SSMnAb0i8JDpIJN 281.265068928
6 60 2250.0 50 13478.000 15610.000 wJOGWn7G5kNeBmV 280.795680119
6 60 2250.0 50 13713.000 15251.000 aEPyNVGNGkv2HiA 285.31599842
6 60 2250.0 50 14272.000 15584.000 Y819sDUI7GZWGgV 285.270787582
6 60 2250.0 50 13902.000 15142.000 LNxVuYdKoGJUKj9 286.532217784
6 60 2250.0 50 14157.000 15100.000 a300i2CZjNwC3Qz 286.119321992
6 60 2250.0 50 13721.000 15149.000 1Z6mpftEwa6EyPA 280.057189657
6 60 2250.0 50 14749.000 15180.000 MIkwLFnAdM0Gbnl 280.953940507
6 60 2250.0 50 13757.000 15180.000 wAFkAHnHtgum0Ck 289.657829046
6 60 2250.0 50 13741.000 15291.000 qZr4LLzYMySEPDf 288.640918647
