grp pers temp it in_BKS out_BKS SEED timeElapsed
2 10 2250.0 50 824.533 1134.493 SSMnAb0i8JDpIJN 2.036788729
2 10 2250.0 50 919.341 1134.493 wJOGWn7G5kNeBmV 2.488444192
2 10 2250.0 50 842.007 1134.493 aEPyNVGNGkv2HiA 2.46549316
2 10 2250.0 50 870.079 1134.493 Y819sDUI7GZWGgV 2.503053476
2 10 2250.0 50 913.179 1134.493 LNxVuYdKoGJUKj9 2.4095405
2 10 2250.0 50 1092.940 1134.493 a300i2CZjNwC3Qz 2.165207861
2 10 2250.0 50 902.535 1134.493 1Z6mpftEwa6EyPA 2.5793593830000003
2 10 2250.0 50 1022.542 1101.837 MIkwLFnAdM0Gbnl 2.2515960269999997
2 10 2250.0 50 975.001 1103.954 wAFkAHnHtgum0Ck 2.477651751
2 10 2250.0 50 842.007 1134.493 qZr4LLzYMySEPDf 1.8255528619999999
