grp pers temp it in_BKS out_BKS SEED timeElapsed
5 30 2250.0 50 12594.073 13010.979 SSMnAb0i8JDpIJN 23.306968213999998
5 30 2250.0 50 12541.496 12930.378 wJOGWn7G5kNeBmV 22.291977837999998
5 30 2250.0 50 12588.652 13117.266 aEPyNVGNGkv2HiA 22.413390217
5 30 2250.0 50 12414.826 12860.260 Y819sDUI7GZWGgV 22.279110755
5 30 2250.0 50 12100.748 12909.300 LNxVuYdKoGJUKj9 22.451877130000003
5 30 2250.0 50 12150.171 12991.204 a300i2CZjNwC3Qz 23.422610521
5 30 2250.0 50 12434.940 13038.181 1Z6mpftEwa6EyPA 21.668252706
5 30 2250.0 50 12617.518 12976.987 MIkwLFnAdM0Gbnl 23.035015345
5 30 2250.0 50 12631.762 12978.751 wAFkAHnHtgum0Ck 21.904082914
5 30 2250.0 50 12596.557 12910.500 qZr4LLzYMySEPDf 21.757425216999998
