grp pers temp it in_BKS out_BKS SEED timeElapsed
2 10 2250.0 50 1069.000 1140.000 SSMnAb0i8JDpIJN 2.0386976069999996
2 10 2250.0 50 763.000 1131.000 wJOGWn7G5kNeBmV 2.452546436
2 10 2250.0 50 881.000 1140.000 aEPyNVGNGkv2HiA 2.579469038
2 10 2250.0 50 819.000 1140.000 Y819sDUI7GZWGgV 2.562575549
2 10 2250.0 50 1041.000 1140.000 LNxVuYdKoGJUKj9 2.428810722
2 10 2250.0 50 939.000 1140.000 a300i2CZjNwC3Qz 2.098986095
2 10 2250.0 50 882.000 1131.000 1Z6mpftEwa6EyPA 1.746894611
2 10 2250.0 50 974.000 1131.000 MIkwLFnAdM0Gbnl 1.699336581
2 10 2250.0 50 1070.000 1140.000 wAFkAHnHtgum0Ck 2.4484676949999997
2 10 2250.0 50 848.000 1131.000 qZr4LLzYMySEPDf 1.8634441549999998
