grp pers temp it in_BKS out_BKS SEED timeElapsed
4 12 2250.0 50 524.000 882.000 SSMnAb0i8JDpIJN 1.769099138
4 12 2250.0 50 718.000 981.000 wJOGWn7G5kNeBmV 2.128021109
4 12 2250.0 50 679.000 954.000 aEPyNVGNGkv2HiA 2.336526814
4 12 2250.0 50 624.000 989.000 Y819sDUI7GZWGgV 2.29934817
4 12 2250.0 50 577.000 981.000 LNxVuYdKoGJUKj9 2.2160894190000002
4 12 2250.0 50 787.000 917.000 a300i2CZjNwC3Qz 2.1595690380000003
4 12 2250.0 50 652.000 954.000 1Z6mpftEwa6EyPA 2.231303951
4 12 2250.0 50 721.000 916.000 MIkwLFnAdM0Gbnl 2.3726683879999997
4 12 2250.0 50 773.000 964.000 wAFkAHnHtgum0Ck 2.321939485
4 12 2250.0 50 587.000 952.000 qZr4LLzYMySEPDf 2.2570850769999997
